,ArtistName,Birthday,Birthplace
1,Shawn Mendes,8-Aug-98,"Toronto, Canada"
2,Anuel AA,27-Nov-92,"Carolina, Puerto Rico"
3,Ariana Grande,26-Jun-93,"Boca Raton, Florida, United States"
4,Ed Sheeran,17-Feb-91,"Halifax, United Kingdom"
5,Post Malone,4-Jul-95,"Syracuse, New York, United States"
6,Lil Tecca,26-Aug-02,"Queens, New York City, New York, United States"
7,Sam Smith,19-May-92,"London, United Kingdom"
8,Lil Nas X,9-Apr-99,"Lithia Springs, Georgia, United States"
9,Billie Eilish,18-Dec-01,"Los Angeles, Canada"
10,Bad Bunny,10-Mar-94,"Almirante Sur, Puerto Rico"
11,DJ Snake,13-Jun-86,"Paris, France"
12,Lewis Capaldi,7-Oct-96,"Glasgow, United Kingdom"
13,Sech,3-Dec-93,"Río Abajo, Panama City, Panama"
14,Drake,24-Oct-86,"Toronto, Canada"
15,Chris Brown,5-May-89,"Tappahannock, Virginia, United States"
16,J Balvin,7-May-85,"Medellin, Colombia"
17,Y2K,27-Jul-94,"Scottsdale, Arizona, United States"
18,Lizzo,27-Apr-88,"Detroit, Michigan, United States"
19,MEDUZA,N/A,"Milan, Italy"
20,Jhay Cortez,9-Apr-93,"Río Piedras, San Juan, Puerto Rico"
21,Lunay,4-Oct-00,"Corozal, Puerto Rico"
22,Tones and I,15-Aug-00,"Mornington Peninsula, Australia"
23,Ali Gatie,31-May-97,"Yemen, Iraq"
24,Daddy Yankee,3-Feb-77,"San Juan, Puerto Rico"
25,J Balvin,7-May-85,"Medellin, Colombia"
26,The Chainsmokers,31-Dec-89,"Freeport, Maine, United States"
27,Maluma,28-Jan-94,"Medellin, Colombia"
28,Young Thug,16-Aug-91,"Atlanta, Georgia, United States"
29,Katy Perry,25-Oct-84,"Santa Barbara, Canada"
30,Martin Garrix,14-May-96,"Amstelveen, Netherlands"
31,Jonas Brothers,16-Sep-92,"Teaneck, New Jersey, United States"
32,Lauv,8-Aug-94,"San Francisco, CA"
33,Kygo,11-Sep-91,"Singapore, Malaysia"
34,Taylor Swift,13-Dec-89,"Reading, Pennsylvania, United States"
35,Lady Gaga,28-Mar-86,"New York City, New York, United States"
36,Khalid,11-Feb-98,"Fort Stewart, Georgia, United States"
37,ROSALÍA,25-Sep-93,"Sant Esteve Sesrovires, Spain"
38,Marshmello,19-May-92,"Philadelphia, Pennsylvania, United States"
39,Nicky Jam,17-Mar-81,"Boston, Massachusetts, United States"
